Cod,Nome Pais,Capital,Região
498.0,Moldova,Chișinău,Europe
840.0,United States,"Washington, D.C.",Americas
175.0,Mayotte,Mamoudzou,Africa
520.0,Nauru,Yaren,Oceania
508.0,Mozambique,Maputo,Africa
76.0,Brazil,Brasília,Americas
132.0,Cape Verde,Praia,Africa
226.0,Equatorial Guinea,Malabo,Africa
8.0,Albania,Tirana,Europe
850.0,United States Virgin Islands,Charlotte Amalie,Americas
570.0,Niue,Alofi,Oceania
585.0,Palau,Ngerulmud,Oceania
566.0,Nigeria,Abuja,Africa
92.0,British Virgin Islands,Road Town,Americas
270.0,Gambia,Banjul,Africa
706.0,Somalia,Mogadishu,Africa
887.0,Yemen,Sana'a,Asia
458.0,Malaysia,Kuala Lumpur,Asia
212.0,Dominica,Roseau,Americas
826.0,United Kingdom,London,Europe
450.0,Madagascar,Antananarivo,Africa
732.0,Western Sahara,El Aaiún,Africa
196.0,Cyprus,Nicosia,Europe
28.0,Antigua and Barbuda,Saint John's,Americas
372.0,Ireland,Dublin,Europe
600.0,Paraguay,Asunción,Americas
144.0,Sri Lanka,Sri Jayawardenepura Kotte,Asia
710.0,South Africa,Pretoria,Africa
414.0,Kuwait,Kuwait City,Asia
12.0,Algeria,Algiers,Africa
191.0,Croatia,Zagreb,Europe
474.0,Martinique,Fort-de-France,Americas
694.0,Sierra Leone,Freetown,Africa
580.0,Northern Mariana Islands,Saipan,Oceania
646.0,Rwanda,Kigali,Africa
760.0,Syria,Damascus,Asia
670.0,Saint Vincent and the Grenadines,Kingstown,Americas
662.0,Saint Lucia,Castries,Americas
340.0,Honduras,Tegucigalpa,Americas
400.0,Jordan,Amman,Asia
798.0,Tuvalu,Funafuti,Oceania
524.0,Nepal,Kathmandu,Asia
430.0,Liberia,Monrovia,Africa
,,,
40.0,Austria,Vienna,Europe
831.0,Guernsey,St. Peter Port,Europe
140.0,Central African Republic,Bangui,Africa
478.0,Mauritania,Nouakchott,Africa
262.0,Djibouti,Djibouti,Africa
242.0,Fiji,Suva,Oceania
578.0,Norway,Oslo,Europe
428.0,Latvia,Riga,Europe
238.0,Falkland Islands,Stanley,Americas
398.0,Kazakhstan,Nur-Sultan,Asia
248.0,Åland Islands,Mariehamn,Europe
795.0,Turkmenistan,Ashgabat,Asia
166.0,Cocos (Keeling) Islands,West Island,Oceania
100.0,Bulgaria,Sofia,Europe
772.0,Tokelau,Fakaofo,Oceania
