Cod,Nome Pais,Capital,Região,Moeda,Coordenadas,Área,População
498.0,Moldova,Chișinău,Europe,Moldovan leu,"[47.0, 29.0]",33846.0,2617820
840.0,United States,"Washington, D.C.",Americas,United States dollar,"[38.0, -97.0]",9372610.0,329484123
175.0,Mayotte,Mamoudzou,Africa,Euro,"[-12.83333333, 45.16666666]",374.0,226915
520.0,Nauru,Yaren,Oceania,Australian dollar,"[-0.53333333, 166.91666666]",21.0,10834
508.0,Mozambique,Maputo,Africa,Mozambican metical,"[-18.25, 35.0]",801590.0,31255435
76.0,Brazil,Brasília,Americas,Brazilian real,"[-10.0, -55.0]",8515767.0,212559409
132.0,Cape Verde,Praia,Africa,Cape Verdean escudo,"[16.5388, -23.0418]",4033.0,555988
226.0,Equatorial Guinea,Malabo,Africa,Central African CFA franc,"[2.0, 10.0]",28051.0,1402985
8.0,Albania,Tirana,Europe,Albanian lek,"[41.0, 20.0]",28748.0,2837743
850.0,United States Virgin Islands,Charlotte Amalie,Americas,United States dollar,"[18.35, -64.933333]",347.0,106290
570.0,Niue,Alofi,Oceania,New Zealand dollar,"[-19.03333333, -169.86666666]",260.0,1470
585.0,Palau,Ngerulmud,Oceania,United States dollar,"[7.5, 134.5]",459.0,18092
566.0,Nigeria,Abuja,Africa,Nigerian naira,"[10.0, 8.0]",923768.0,206139587
92.0,British Virgin Islands,Road Town,Americas,United States dollar,"[18.431383, -64.62305]",151.0,30237
270.0,Gambia,Banjul,Africa,dalasi,"[13.46666666, -16.56666666]",10689.0,2416664
706.0,Somalia,Mogadishu,Africa,Somali shilling,"[10.0, 49.0]",637657.0,15893219
887.0,Yemen,Sana'a,Asia,Yemeni rial,"[15.0, 48.0]",527968.0,29825968
458.0,Malaysia,Kuala Lumpur,Asia,Malaysian ringgit,"[2.5, 112.5]",330803.0,32365998
212.0,Dominica,Roseau,Americas,Eastern Caribbean dollar,"[15.41666666, -61.33333333]",751.0,71991
826.0,United Kingdom,London,Europe,British pound,"[54.0, -2.0]",242900.0,67215293
450.0,Madagascar,Antananarivo,Africa,Malagasy ariary,"[-20.0, 47.0]",587041.0,27691019
732.0,Western Sahara,El Aaiún,Africa,Algerian dinar,"[24.5, -13.0]",266000.0,510713
196.0,Cyprus,Nicosia,Europe,Euro,"[35.0, 33.0]",9251.0,1207361
28.0,Antigua and Barbuda,Saint John's,Americas,Eastern Caribbean dollar,"[17.05, -61.8]",442.0,97928
372.0,Ireland,Dublin,Europe,Euro,"[53.0, -8.0]",70273.0,4994724
600.0,Paraguay,Asunción,Americas,Paraguayan guaraní,"[-23.0, -58.0]",406752.0,7132530
144.0,Sri Lanka,Sri Jayawardenepura Kotte,Asia,Sri Lankan rupee,"[7.0, 81.0]",65610.0,21919000
710.0,South Africa,Pretoria,Africa,South African rand,"[-29.0, 24.0]",1221037.0,59308690
414.0,Kuwait,Kuwait City,Asia,Kuwaiti dinar,"[29.5, 45.75]",17818.0,4270563
12.0,Algeria,Algiers,Africa,Algerian dinar,"[28.0, 3.0]",2381741.0,44700000
191.0,Croatia,Zagreb,Europe,Euro,"[45.16666666, 15.5]",56594.0,4047200
474.0,Martinique,Fort-de-France,Americas,Euro,"[14.666667, -61.0]",1128.0,378243
694.0,Sierra Leone,Freetown,Africa,Sierra Leonean leone,"[8.5, -11.5]",71740.0,7976985
580.0,Northern Mariana Islands,Saipan,Oceania,United States dollar,"[15.2, 145.75]",464.0,57557
646.0,Rwanda,Kigali,Africa,Rwandan franc,"[-2.0, 30.0]",26338.0,12952209
760.0,Syria,Damascus,Asia,Syrian pound,"[35.0, 38.0]",185180.0,17500657
670.0,Saint Vincent and the Grenadines,Kingstown,Americas,Eastern Caribbean dollar,"[13.25, -61.2]",389.0,110947
662.0,Saint Lucia,Castries,Americas,Eastern Caribbean dollar,"[13.88333333, -60.96666666]",616.0,183629
340.0,Honduras,Tegucigalpa,Americas,Honduran lempira,"[15.0, -86.5]",112492.0,9904608
400.0,Jordan,Amman,Asia,Jordanian dinar,"[31.0, 36.0]",89342.0,10203140
798.0,Tuvalu,Funafuti,Oceania,Australian dollar,"[-8.0, 178.0]",26.0,11792
524.0,Nepal,Kathmandu,Asia,Nepalese rupee,"[28.0, 84.0]",147181.0,29136808
430.0,Liberia,Monrovia,Africa,Liberian dollar,"[6.5, -9.5]",111369.0,5057677
40.0,Austria,Vienna,Europe,Euro,"[47.33333333, 13.33333333]",83871.0,8917205
831.0,Guernsey,St. Peter Port,Europe,British pound,"[49.46666666, -2.58333333]",78.0,62999
140.0,Central African Republic,Bangui,Africa,Central African CFA franc,"[7.0, 21.0]",622984.0,4829764
478.0,Mauritania,Nouakchott,Africa,Mauritanian ouguiya,"[20.0, -12.0]",1030700.0,4649660
262.0,Djibouti,Djibouti,Africa,Djiboutian franc,"[11.5, 43.0]",23200.0,988002
242.0,Fiji,Suva,Oceania,Fijian dollar,"[17.7134, 178.065]",18272.0,896444
578.0,Norway,Oslo,Europe,Norwegian krone,"[62.0, 10.0]",323802.0,5379475
428.0,Latvia,Riga,Europe,Euro,"[57.0, 25.0]",64559.0,1901548
238.0,Falkland Islands,Stanley,Americas,Falkland Islands pound,"[-51.75, -59.0]",12173.0,2563
398.0,Kazakhstan,Nur-Sultan,Asia,Kazakhstani tenge,"[48.0196, 66.9237]",2724900.0,18754440
248.0,Åland Islands,Mariehamn,Europe,Euro,"[60.116667, 19.9]",1580.0,29458
795.0,Turkmenistan,Ashgabat,Asia,Turkmenistan manat,"[40.0, 60.0]",488100.0,6031187
166.0,Cocos (Keeling) Islands,West Island,Oceania,Australian dollar,"[12.1642, 96.871]",14.0,544
100.0,Bulgaria,Sofia,Europe,Bulgarian lev,"[43.0, 25.0]",110879.0,6927288
772.0,Tokelau,Fakaofo,Oceania,New Zealand dollar,"[-9.0, -172.0]",12.0,1411
540.0,New Caledonia,Nouméa,Oceania,CFP franc,"[-21.5, 165.5]",18575.0,271960
52.0,Barbados,Bridgetown,Americas,Barbadian dollar,"[13.16666666, -59.53333333]",430.0,287371
678.0,São Tomé and Príncipe,São Tomé,Africa,São Tomé and Príncipe dobra,"[1.0, 7.0]",964.0,219161
96.0,Brunei,Bandar Seri Begawan,Asia,Brunei dollar,"[4.5, 114.66666666]",5765.0,437483
64.0,Bhutan,Thimphu,Asia,Bhutanese ngultrum,"[27.5, 90.5]",38394.0,771612
120.0,Cameroon,Yaoundé,Africa,Central African CFA franc,"[6.0, 12.0]",475442.0,26545864
32.0,Argentina,Buenos Aires,Americas,Argentine peso,"[-34.0, -64.0]",2780400.0,45376763
31.0,Azerbaijan,Baku,Asia,Azerbaijani manat,"[40.5, 47.5]",86600.0,10110116
484.0,Mexico,Mexico City,Americas,Mexican peso,"[23.0, -102.0]",1964375.0,128932753
504.0,Morocco,Rabat,Africa,Moroccan dirham,"[32.0, -5.0]",446550.0,36910558
320.0,Guatemala,Guatemala City,Americas,Guatemalan quetzal,"[15.5, -90.25]",108889.0,16858333
404.0,Kenya,Nairobi,Africa,Kenyan shilling,"[1.0, 38.0]",580367.0,53771300
470.0,Malta,Valletta,Europe,Euro,"[35.9375, 14.3754]",316.0,525285
203.0,Czechia,Prague,Europe,Czech koruna,"[49.75, 15.5]",78865.0,10698896
292.0,Gibraltar,Gibraltar,Europe,Gibraltar pound,"[36.13333333, -5.35]",6.0,33691
533.0,Aruba,Oranjestad,Americas,Aruban florin,"[12.5, -69.96666666]",180.0,106766
652.0,Saint Barthélemy,Gustavia,Americas,Euro,"[18.5, -63.41666666]",21.0,4255
492.0,Monaco,Monaco,Europe,Euro,"[43.73333333, 7.4]",2.02,39244
784.0,United Arab Emirates,Abu Dhabi,Asia,United Arab Emirates dirham,"[24.0, 54.0]",83600.0,9890400
728.0,South Sudan,Juba,Africa,South Sudanese pound,"[7.0, 30.0]",619745.0,11193729
630.0,Puerto Rico,San Juan,Americas,United States dollar,"[18.25, -66.5]",8870.0,3194034
222.0,El Salvador,San Salvador,Americas,United States dollar,"[13.83333333, -88.91666666]",21041.0,6486201
250.0,France,Paris,Europe,Euro,"[46.0, 2.0]",551695.0,67391582
562.0,Niger,Niamey,Africa,West African CFA franc,"[16.0, 8.0]",1267000.0,24206636
384.0,Ivory Coast,Yamoussoukro,Africa,West African CFA franc,"[8.0, -5.0]",322463.0,26378275
239.0,South Georgia,King Edward Point,Antarctic,Saint Helena pound,"[-54.5, -37.0]",3903.0,30
72.0,Botswana,Gaborone,Africa,Botswana pula,"[-22.0, 24.0]",582000.0,2351625
86.0,British Indian Ocean Territory,Diego Garcia,Africa,United States dollar,"[-6.0, 71.5]",60.0,3000
860.0,Uzbekistan,Tashkent,Asia,Uzbekistani soʻm,"[41.0, 64.0]",447400.0,34232050
788.0,Tunisia,Tunis,Africa,Tunisian dinar,"[34.0, 9.0]",163610.0,11818618
344.0,Hong Kong,City of Victoria,Asia,Hong Kong dollar,"[22.267, 114.188]",1104.0,7500700
807.0,North Macedonia,Skopje,Europe,denar,"[41.83333333, 22.0]",25713.0,2077132
740.0,Suriname,Paramaribo,Americas,Surinamese dollar,"[4.0, -56.0]",163820.0,586634
56.0,Belgium,Brussels,Europe,Euro,"[50.83333333, 4.0]",30528.0,11555997
16.0,American Samoa,Pago Pago,Oceania,United States dollar,"[-14.33333333, -170.0]",199.0,55197
90.0,Solomon Islands,Honiara,Oceania,Solomon Islands dollar,"[-8.0, 159.0]",28896.0,686878
804.0,Ukraine,Kyiv,Europe,Ukrainian hryvnia,"[49.0, 32.0]",603500.0,44134693
246.0,Finland,Helsinki,Europe,Euro,"[64.0, 26.0]",338424.0,5530719
854.0,Burkina Faso,Ouagadougou,Africa,West African CFA franc,"[13.0, -2.0]",272967.0,20903278
70.0,Bosnia and Herzegovina,Sarajevo,Europe,Bosnia and Herzegovina convertible mark,"[44.0, 18.0]",51209.0,3280815
364.0,Iran,Tehran,Asia,Iranian rial,"[32.0, 53.0]",1648195.0,83992953
192.0,Cuba,Havana,Americas,Cuban convertible peso,"[21.5, -80.0]",109884.0,11326616
232.0,Eritrea,Asmara,Africa,Eritrean nakfa,"[15.0, 39.0]",117600.0,5352000
703.0,Slovakia,Bratislava,Europe,Euro,"[48.66666666, 19.5]",49037.0,5458827
440.0,Lithuania,Vilnius,Europe,Euro,"[56.0, 24.0]",65300.0,2794700
663.0,Saint Martin,Marigot,Americas,Euro,"[18.0708, 63.0501]",53.0,38659
612.0,Pitcairn Islands,Adamstown,Oceania,New Zealand dollar,"[-25.06666666, -130.1]",47.0,56
624.0,Guinea-Bissau,Bissau,Africa,West African CFA franc,"[12.0, -15.0]",36125.0,1967998
500.0,Montserrat,Plymouth,Americas,Eastern Caribbean dollar,"[16.75, -62.2]",102.0,4922
792.0,Turkey,Ankara,Asia,Turkish lira,"[39.0, 35.0]",783562.0,84339067
608.0,Philippines,Manila,Asia,Philippine peso,"[13.0, 122.0]",342353.0,109581085
548.0,Vanuatu,Port Vila,Oceania,Vanuatu vatu,"[-16.0, 167.0]",12189.0,307150
68.0,Bolivia,Sucre,Americas,Bolivian boliviano,"[-17.0, -65.0]",1098581.0,11673029
659.0,Saint Kitts and Nevis,Basseterre,Americas,Eastern Caribbean dollar,"[17.33333333, -62.75]",261.0,53192
642.0,Romania,Bucharest,Europe,Romanian leu,"[46.0, 25.0]",238391.0,19286123
116.0,Cambodia,Phnom Penh,Asia,Cambodian riel,"[13.0, 105.0]",181035.0,16718971
716.0,Zimbabwe,Harare,Africa,Zimbabwean dollar,"[-20.0, 30.0]",390757.0,14862927
832.0,Jersey,Saint Helier,Europe,British pound,"[49.25, -2.16666666]",116.0,100800
417.0,Kyrgyzstan,Bishkek,Asia,Kyrgyzstani som,"[41.0, 75.0]",199951.0,6591600
535.0,Caribbean Netherlands,Kralendijk,Americas,United States dollar,"[12.18, -68.25]",328.0,25987
328.0,Guyana,Georgetown,Americas,Guyanese dollar,"[5.0, -59.0]",214969.0,786559
581.0,United States Minor Outlying Islands,Washington DC,Americas,United States dollar,"[19.3, 166.633333]",34.2,300
51.0,Armenia,Yerevan,Asia,Armenian dram,"[40.0, 45.0]",29743.0,2963234
422.0,Lebanon,Beirut,Asia,Lebanese pound,"[33.83333333, 35.83333333]",10452.0,6825442
499.0,Montenegro,Podgorica,Europe,Euro,"[42.5, 19.3]",13812.0,621718
304.0,Greenland,Nuuk,Americas,krone,"[72.0, -40.0]",2166086.0,56367
598.0,Papua New Guinea,Port Moresby,Oceania,Papua New Guinean kina,"[-6.0, 147.0]",462840.0,8947027
894.0,Zambia,Lusaka,Africa,Zambian kwacha,"[-15.0, 30.0]",752612.0,18383956
780.0,Trinidad and Tobago,Port of Spain,Americas,Trinidad and Tobago dollar,"[10.6918, -61.2225]",5130.0,1399491
260.0,French Southern and Antarctic Lands,Port-aux-Français,Antarctic,Euro,"[-49.25, 69.167]",7747.0,400
604.0,Peru,Lima,Americas,Peruvian sol,"[-10.0, -76.0]",1285216.0,32971846
752.0,Sweden,Stockholm,Europe,Swedish krona,"[62.0, 15.0]",450295.0,10353442
