name,ccn3,capital,region
"{'common': 'Cyprus', 'official': 'Republic of Cyprus', 'nativeName': {'ell': {'official': 'Δημοκρατία της Κύπρος', 'common': 'Κύπρος'}, 'tur': {'official': 'Kıbrıs Cumhuriyeti', 'common': 'Kıbrıs'}}}",196,['Nicosia'],Europe
"{'common': 'Eritrea', 'official': 'State of Eritrea', 'nativeName': {'ara': {'official': 'دولة إرتريا', 'common': 'إرتريا\u200e'}, 'eng': {'official': 'State of Eritrea', 'common': 'Eritrea'}, 'tir': {'official': 'ሃገረ ኤርትራ', 'common': 'ኤርትራ'}}}",232,['Asmara'],Africa
"{'common': 'Liberia', 'official': 'Republic of Liberia', 'nativeName': {'eng': {'official': 'Republic of Liberia', 'common': 'Liberia'}}}",430,['Monrovia'],Africa
"{'common': 'Bermuda', 'official': 'Bermuda', 'nativeName': {'eng': {'official': 'Bermuda', 'common': 'Bermuda'}}}",060,['Hamilton'],Americas
"{'common': 'Vatican City', 'official': 'Vatican City State', 'nativeName': {'ita': {'official': 'Stato della Città del Vaticano', 'common': 'Vaticano'}, 'lat': {'official': 'Status Civitatis Vaticanæ', 'common': 'Vaticanæ'}}}",336,['Vatican City'],Europe
"{'common': 'Cook Islands', 'official': 'Cook Islands', 'nativeName': {'eng': {'official': 'Cook Islands', 'common': 'Cook Islands'}, 'rar': {'official': ""Kūki 'Āirani"", 'common': ""Kūki 'Āirani""}}}",184,['Avarua'],Oceania
"{'common': 'Somalia', 'official': 'Federal Republic of Somalia', 'nativeName': {'ara': {'official': 'جمهورية الصومال\u200e\u200e', 'common': 'الصومال\u200e\u200e'}, 'som': {'official': 'Jamhuuriyadda Federaalka Soomaaliya', 'common': 'Soomaaliya'}}}",706,['Mogadishu'],Africa
"{'common': 'Zambia', 'official': 'Republic of Zambia', 'nativeName': {'eng': {'official': 'Republic of Zambia', 'common': 'Zambia'}}}",894,['Lusaka'],Africa
"{'common': 'Venezuela', 'official': 'Bolivarian Republic of Venezuela', 'nativeName': {'spa': {'official': 'República Bolivariana de Venezuela', 'common': 'Venezuela'}}}",862,['Caracas'],Americas
"{'common': 'Turkmenistan', 'official': 'Turkmenistan', 'nativeName': {'rus': {'official': 'Туркменистан', 'common': 'Туркмения'}, 'tuk': {'official': 'Türkmenistan', 'common': 'Türkmenistan'}}}",795,['Ashgabat'],Asia
"{'common': 'Albania', 'official': 'Republic of Albania', 'nativeName': {'sqi': {'official': 'Republika e Shqipërisë', 'common': 'Shqipëria'}}}",008,['Tirana'],Europe
"{'common': 'Croatia', 'official': 'Republic of Croatia', 'nativeName': {'hrv': {'official': 'Republika Hrvatska', 'common': 'Hrvatska'}}}",191,['Zagreb'],Europe
"{'common': 'United Kingdom', 'official': 'United Kingdom of Great Britain and Northern Ireland', 'nativeName': {'eng': {'official': 'United Kingdom of Great Britain and Northern Ireland', 'common': 'United Kingdom'}}}",826,['London'],Europe
"{'common': 'Sudan', 'official': 'Republic of the Sudan', 'nativeName': {'ara': {'official': 'جمهورية السودان', 'common': 'السودان'}, 'eng': {'official': 'Republic of the Sudan', 'common': 'Sudan'}}}",729,['Khartoum'],Africa
"{'common': 'Timor-Leste', 'official': 'Democratic Republic of Timor-Leste', 'nativeName': {'por': {'official': 'República Democrática de Timor-Leste', 'common': 'Timor-Leste'}, 'tet': {'official': 'Repúblika Demokrátika Timór-Leste', 'common': 'Timór-Leste'}}}",626,['Dili'],Asia
"{'common': 'Republic of the Congo', 'official': 'Republic of the Congo', 'nativeName': {'fra': {'official': 'République du Congo', 'common': 'République du Congo'}, 'kon': {'official': 'Repubilika ya Kongo', 'common': 'Repubilika ya Kongo'}, 'lin': {'official': 'Republíki ya Kongó', 'common': 'Republíki ya Kongó'}}}",178,['Brazzaville'],Africa
"{'common': 'Azerbaijan', 'official': 'Republic of Azerbaijan', 'nativeName': {'aze': {'official': 'Azərbaycan Respublikası', 'common': 'Azərbaycan'}}}",031,['Baku'],Asia
"{'common': 'Kenya', 'official': 'Republic of Kenya', 'nativeName': {'eng': {'official': 'Republic of Kenya', 'common': 'Kenya'}, 'swa': {'official': 'Republic of Kenya', 'common': 'Kenya'}}}",404,['Nairobi'],Africa
"{'common': 'American Samoa', 'official': 'American Samoa', 'nativeName': {'eng': {'official': 'American Samoa', 'common': 'American Samoa'}, 'smo': {'official': 'Sāmoa Amelika', 'common': 'Sāmoa Amelika'}}}",016,['Pago Pago'],Oceania
"{'common': 'Ivory Coast', 'official': ""Republic of Côte d'Ivoire"", 'nativeName': {'fra': {'official': ""République de Côte d'Ivoire"", 'common': ""Côte d'Ivoire""}}}",384,['Yamoussoukro'],Africa
"{'common': 'Senegal', 'official': 'Republic of Senegal', 'nativeName': {'fra': {'official': 'République du Sénégal', 'common': 'Sénégal'}}}",686,['Dakar'],Africa
"{'common': 'Vietnam', 'official': 'Socialist Republic of Vietnam', 'nativeName': {'vie': {'official': 'Cộng hòa xã hội chủ nghĩa Việt Nam', 'common': 'Việt Nam'}}}",704,['Hanoi'],Asia
"{'common': 'El Salvador', 'official': 'Republic of El Salvador', 'nativeName': {'spa': {'official': 'República de El Salvador', 'common': 'El Salvador'}}}",222,['San Salvador'],Americas
"{'common': 'Afghanistan', 'official': 'Islamic Republic of Afghanistan', 'nativeName': {'prs': {'official': 'جمهوری اسلامی افغانستان', 'common': 'افغانستان'}, 'pus': {'official': 'د افغانستان اسلامي جمهوریت', 'common': 'افغانستان'}, 'tuk': {'official': 'Owganystan Yslam Respublikasy', 'common': 'Owganystan'}}}",004,['Kabul'],Asia
"{'common': 'Saint Martin', 'official': 'Saint Martin', 'nativeName': {'fra': {'official': 'Saint-Martin', 'common': 'Saint-Martin'}}}",663,['Marigot'],Americas
"{'common': 'Latvia', 'official': 'Republic of Latvia', 'nativeName': {'lav': {'official': 'Latvijas Republikas', 'common': 'Latvija'}}}",428,['Riga'],Europe
"{'common': 'Guatemala', 'official': 'Republic of Guatemala', 'nativeName': {'spa': {'official': 'República de Guatemala', 'common': 'Guatemala'}}}",320,['Guatemala City'],Americas
